"","Page","Position_Name","Company_Name","Location_Name"
"66",1,"FamilyChristian","DataAnalyst","HarveyIL"
"67",1,"MagnoliaCapital","DataEngineerInternship","ChicagoIL"
"68",1,"TheParkingSpot","DataAnalyst","ChicagoIL"
"69",1,"SynecticsInc","DataAnalyst","ChicagoIL"
"70",1,"StaffingNetworkLLC","EntrylevelVirtualDataEntryAnalystAssistantRemote","ChicagoIL"
"71",1,"RedwoodLogistics","DataAnalyst","ChicagoIL"
"72",1,"KaufmanHall","DataScientist","ChicagoIL"
"73",1,"AlliantCreditUnion","DataAnalyst","ChicagoIL"
"74",1,"PlanetTechnology","DataAnalyst","ChicagoIL"
"75",1,"MuseumofScienceandIndustryChicago","MarketingManager","ChicagoIL"
"76",2,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"77",2,"PatientIQ","DataAnalyst","ChicagoIL"
"78",2,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"79",2,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"80",2,"FarmersFridge","DataScientist","ChicagoIL"
"81",2,"iSpottv","DataAnalyst","ChicagoIL"
"82",2,"Pinterest","BusinessAnalystContentCreators","ChicagoIL"
"83",2,"AvisonYoung","DataAnalyst","ChicagoIL"
"84",2,"LevelEx","DataAnalyst","ChicagoIL"
"85",2,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
"86",2,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"87",2,"UnitedAirlines","AnalystMarketingAnalytics","ChicagoIL"
"88",2,"UniversityofChicago","DataAnalyst","ChicagoIL"
"89",2,"Fetch","DataAnalyticsInternshipUIUCCareerFair","ChicagoIL"
"90",2,"MagnoliaCapital","DataAnalyst","ChicagoIL"
"91",2,"FamilyChristian","DataAnalyst","HarveyIL"
"92",2,"MagnoliaCapital","DataEngineerInternship","ChicagoIL"
"93",2,"TheParkingSpot","DataAnalyst","ChicagoIL"
"94",2,"SynecticsInc","DataAnalyst","ChicagoIL"
"95",2,"StaffingNetworkLLC","EntrylevelVirtualDataEntryAnalystAssistantRemote","ChicagoIL"
"96",2,"RedwoodLogistics","DataAnalyst","ChicagoIL"
"97",2,"KaufmanHall","DataScientist","ChicagoIL"
"98",2,"AlliantCreditUnion","DataAnalyst","ChicagoIL"
"99",2,"PlanetTechnology","DataAnalyst","ChicagoIL"
"100",2,"Rheaply","DataAnalyst","ChicagoIL"
"101",3,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"102",3,"PatientIQ","DataAnalyst","ChicagoIL"
"103",3,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"104",3,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"105",3,"FarmersFridge","DataScientist","ChicagoIL"
"106",3,"iSpottv","DataAnalyst","ChicagoIL"
"107",3,"Pinterest","BusinessAnalystContentCreators","ChicagoIL"
"108",3,"AvisonYoung","DataAnalyst","ChicagoIL"
"109",3,"LevelEx","DataAnalyst","ChicagoIL"
"110",3,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
"111",3,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"112",3,"UnitedAirlines","AnalystMarketingAnalytics","ChicagoIL"
"113",3,"UniversityofChicago","DataAnalyst","ChicagoIL"
"114",3,"Fetch","DataAnalyticsInternshipUIUCCareerFair","ChicagoIL"
"115",3,"FamilyChristian","DataAnalyst","HarveyIL"
"116",3,"MagnoliaCapital","DataEngineerInternship","ChicagoIL"
"117",3,"TheParkingSpot","DataAnalyst","ChicagoIL"
"118",3,"SynecticsInc","DataAnalyst","ChicagoIL"
"119",3,"StaffingNetworkLLC","EntrylevelVirtualDataEntryAnalystAssistantRemote","ChicagoIL"
"120",3,"RedwoodLogistics","DataAnalyst","ChicagoIL"
"121",3,"KaufmanHall","DataScientist","ChicagoIL"
"122",3,"AlliantCreditUnion","DataAnalyst","ChicagoIL"
"123",3,"PlanetTechnology","DataAnalyst","ChicagoIL"
"124",3,"Rheaply","DataAnalyst","ChicagoIL"
"125",3,"MuseumofScienceandIndustryChicago","MarketingManager","ChicagoIL"
"126",4,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"127",4,"PatientIQ","DataAnalyst","ChicagoIL"
"128",4,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"129",4,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"130",4,"FarmersFridge","DataScientist","ChicagoIL"
"131",4,"iSpottv","DataAnalyst","ChicagoIL"
"132",4,"Pinterest","BusinessAnalystContentCreators","ChicagoIL"
"133",4,"AvisonYoung","DataAnalyst","ChicagoIL"
"134",4,"LevelEx","DataAnalyst","ChicagoIL"
"135",4,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
