"","year","date","statefips","countyfips","ctfips","latitude","longitude","ds_o3_pred","ds_o3_stdd"
"272","2016","08JAN2016","55","105","55105001800","42.51755","-89.02678","15.2821","4.2804"
"273","2016","08JAN2016","55","105","55105002100","42.53038","-89.05855","15.2767","4.2632"
"274","2016","08JAN2016","55","105","55105002300","42.53279","-89.02897","15.2252","4.2647"
"275","2016","08JAN2016","55","105","55105002602","42.53666","-88.9448","15.2459","4.2114"
"276","2016","08JAN2016","55","105","55105002500","42.53716","-89.01592","15.2462","4.2636"
"277","2016","08JAN2016","55","105","55105002200","42.54582","-89.09027","15.4397","4.4712"
"278","2016","08JAN2016","55","105","55105003300","42.54762","-88.83378","15.5526","4.2786"
"279","2016","08JAN2016","55","105","55105002700","42.54843","-89.24627","16.0536","4.5134"
"280","2016","08JAN2016","55","105","55105002601","42.55448","-88.99945","15.2926","4.266"
"281","2016","08JAN2016","55","105","55105002400","42.56141","-89.02588","15.3797","4.4481"
"282","2016","08JAN2016","55","105","55105001400","42.62309","-89.01896","15.6525","4.6382"
"283","2016","08JAN2016","55","105","55105001302","42.64148","-88.93872","15.6963","4.4147"
"284","2016","08JAN2016","55","105","55105001201","42.64202","-89.09185","15.7061","4.5224"
"285","2016","08JAN2016","55","105","55105001100","42.65795","-89.04421","15.5242","4.5325"
"286","2016","08JAN2016","55","105","55105001000","42.66515","-89.01236","15.7143","4.4799"
"287","2016","08JAN2016","55","105","55105002800","42.66682","-89.23995","16.3706","4.8974"
"288","2016","08JAN2016","55","105","55105000300","42.67417","-89.02437","15.6164","4.6545"
"289","2016","08JAN2016","55","105","55105000400","42.67738","-89.04153","15.6417","4.5321"
"290","2016","08JAN2016","55","105","55105000200","42.68317","-89.01108","15.6211","4.6435"
"291","2016","08JAN2016","55","105","55105000100","42.68356","-89.02426","15.7359","4.6431"
"292","2016","08JAN2016","55","105","55105000900","42.6843","-88.99207","15.6383","4.4402"
"293","2016","08JAN2016","55","105","55105000800","42.69536","-89.00179","15.5293","4.6649"
"294","2016","08JAN2016","55","105","55105000600","42.69674","-89.02224","15.5719","4.7369"
"295","2016","08JAN2016","55","105","55105000500","42.70099","-89.04299","15.7267","4.681"
"296","2016","08JAN2016","55","105","55105000700","42.71025","-88.99385","15.5748","4.6053"
"297","2016","08JAN2016","55","105","55105001304","42.71477","-88.97057","15.4316","4.6187"
"298","2016","08JAN2016","55","105","55105003200","42.72317","-88.83716","15.7043","4.728"
"299","2016","08JAN2016","55","105","55105001202","42.73139","-89.06797","15.789","4.7316"
"300","2016","08JAN2016","55","105","55105001303","42.73339","-88.94172","15.4597","4.6181"
"301","2016","08JAN2016","55","105","55105002900","42.78101","-89.29198","16.388","5.0259"
"302","2016","08JAN2016","55","105","55105003002","42.80168","-89.11307","15.6711","4.9311"
"303","2016","08JAN2016","55","105","55105003100","42.80181","-88.95325","15.2716","4.6332"
"304","2016","08JAN2016","55","105","55105003001","42.83565","-89.07194","15.5007","4.7036"
"305","2016","09JAN2016","55","105","55105001500","42.50099","-89.02769","28.5001","3.8876"
"306","2016","09JAN2016","55","105","55105001600","42.50188","-89.04802","28.5914","3.9752"
"307","2016","09JAN2016","55","105","55105001900","42.50673","-89.01721","28.3604","3.7979"
"308","2016","09JAN2016","55","105","55105002000","42.50687","-89.06441","28.688","4.005"
"309","2016","09JAN2016","55","105","55105001700","42.51589","-89.04543","28.7308","4.0885"
"310","2016","09JAN2016","55","105","55105001800","42.51755","-89.02678","28.4666","4.0619"
"311","2016","09JAN2016","55","105","55105002100","42.53038","-89.05855","28.5209","4.0589"
"312","2016","09JAN2016","55","105","55105002300","42.53279","-89.02897","28.2839","3.9969"
"313","2016","09JAN2016","55","105","55105002602","42.53666","-88.9448","28.134","4.0372"
